Province,Abbreviation,Week,DailyTotals,TotalCases,TotalRecovered,DailyRecovered,TotalDeaths,DailyDeaths,TotalTested,DailyTested,TotalActive,DailyActive,TotalHospitalized,DailyHospitalized,TotalICU,DailyICU,StartDate,EndDate
ALBERTA,AB,20,647,84852,75948,507,1549,9,5641799,52297,7489,165,337,-14,85,-3,2020-08-12 12:00:00+00:00,2020-08-18 12:00:00+00:00
ALBERTA,AB,21,589,89363,79895,689,1614,10,6089036,73430,7854,-110,311,-2,67,-4,2020-08-19 12:00:00+00:00,2020-08-25 12:00:00+00:00
ALBERTA,AB,22,1058,94924,84604,713,1663,6,6578300,73371,8657,339,323,4,53,3,2020-08-26 12:00:00+00:00,2020-09-01 12:00:00+00:00
ALBERTA,AB,23,1027,101479,89538,727,1699,6,7051475,76023,10242,294,329,-5,64,0,2020-09-02 12:00:00+00:00,2020-09-08 12:00:00+00:00
ALBERTA,AB,24,864,108530,96322,1058,1768,7,7664293,91372,10440,-201,287,-6,46,-3,2020-09-09 12:00:00+00:00,2020-09-15 12:00:00+00:00
ALBERTA,AB,25,932,115173,103112,854,1787,4,8313446,86121,10274,74,313,12,53,2,2020-09-16 12:00:00+00:00,2020-09-22 12:00:00+00:00
ALBERTA,AB,26,1020,121909,109481,1006,1835,8,8962377,106803,10593,6,411,12,97,4,2020-09-23 12:00:00+00:00,2020-09-29 12:00:00+00:00
ALBERTA,AB,27,1302,129514,116066,958,1913,15,9720539,105861,11535,329,443,-2,97,0,2020-09-30 12:00:00+00:00,2020-10-06 12:00:00+00:00
ALBERTA,AB,28,1745,140008,122508,1025,1978,5,10477408,113672,15522,715,584,36,83,0,2020-10-07 12:00:00+00:00,2020-10-13 12:00:00+00:00
ALBERTA,AB,29,2040,153636,131336,1445,2024,7,11243241,97086,20276,588,785,19,97,4,2020-10-14 12:00:00+00:00,2020-10-20 12:00:00+00:00
ALBERTA,AB,30,3159,171902,142735,1608,2108,16,11941848,100018,27059,1535,802,7,108,0,2020-10-21 12:00:00+00:00,2020-10-27 12:00:00+00:00
ALBERTA,AB,31,3777,194195,155422,2376,2261,29,12532211,81914,36512,1372,982,44,164,11,2020-10-28 12:00:00+00:00,2020-11-03 12:00:00+00:00
ALBERTA,AB,32,4941,225561,174033,2923,2487,38,13031468,33899,48981,1980,1240,40,241,16,2020-11-04 12:00:00+00:00,2020-11-10 12:00:00+00:00
ALBERTA,AB,33,6089,267408,200766,4055,2834,56,13084344,0,63808,1978,1722,61,374,14,2020-11-11 12:00:00+00:00,2020-11-17 12:00:00+00:00
ALBERTA,AB,34,8574,318558,234214,5233,3266,60,14073443,272154,81078,3281,2196,80,420,9,2020-11-18 12:00:00+00:00,2020-11-24 12:00:00+00:00
ALBERTA,AB,35,9948,384725,275354,6610,3678,59,15491074,129626,105693,3279,2925,131,617,31,2020-11-25 12:00:00+00:00,2020-12-01 12:00:00+00:00
ALBERTA,AB,36,12544,466668,330585,8695,4208,89,16445946,139703,131875,3760,3975,175,714,15,2020-12-02 12:00:00+00:00,2020-12-08 12:00:00+00:00
ALBERTA,AB,37,11299,549128,401303,10934,4896,104,17403326,133889,142929,261,4871,88,905,25,2020-12-09 12:00:00+00:00,2020-12-15 12:00:00+00:00
ALBERTA,AB,38,9153,620024,478425,11364,5763,127,18313454,126592,135856,-2318,5409,60,1018,15,2020-12-16 12:00:00+00:00,2020-12-22 12:00:00+00:00
ALBERTA,AB,39,6661,666315,540458,10030,6480,157,18972958,94769,119377,-3546,5873,88,1031,1,2020-12-23 12:00:00+00:00,2020-12-29 12:00:00+00:00
ALBERTA,AB,40,7237,724953,606488,8471,7540,140,20130550,91449,100025,-1374,6429,29,1036,-13,2020-12-30 12:00:00+00:00,2021-01-05 12:00:00+00:00
ALBERTA,AB,91,2971,2425310,2344998,652,23093,5,44257994,23407,57219,2314,2234,-11,449,-5,2021-12-22 12:00:00+00:00,2021-12-28 12:00:00+00:00
ALBERTA,AB,92,32669,2525112,2363278,6729,23182,23,44686269,114585,138652,25917,2530,118,403,-3,2021-12-29 12:00:00+00:00,2022-01-04 12:00:00+00:00
ALBERTA,AB,93,38159,2789239,2442580,13792,23379,30,45419075,98889,323280,24337,3823,272,480,19,2022-01-05 12:00:00+00:00,2022-01-11 12:00:00+00:00
ALBERTA,AB,94,38127,3072180,2589543,26457,23697,60,46153263,99664,458940,11610,6096,381,602,24,2022-01-12 12:00:00+00:00,2022-01-18 12:00:00+00:00
ALBERTA,AB,95,22181,3266826,2813123,41176,24033,71,46693453,63529,429670,-19066,8373,288,755,7,2022-01-19 12:00:00+00:00,2022-01-25 12:00:00+00:00
ALBERTA,AB,96,18112,3417816,3104321,33851,24761,96,47114681,51912,288734,-15835,10476,208,738,-2,2022-01-26 12:00:00+00:00,2022-02-01 12:00:00+00:00
ALBERTA,AB,97,13765,3528392,3277682,20715,25462,107,47434007,40636,225248,-7057,11099,38,819,20,2022-02-02 12:00:00+00:00,2022-02-08 12:00:00+00:00